企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
三菱ガス化学,ISTP,"ESTP, ISTJ, ESTJ",https://www.mgc.co.jp/,化学,大規模,研究開発志向,フレックス制,化学研究・開発,成果主義,,,,,,,,,,,
三菱ケミカルホールディングス,ISTP,"ESTP, ISTJ, ESTJ",https://www.mitsubishichem-hd.co.jp/,化学,大規模,研究開発志向,フレックス制,化学技術・開発,成果主義,,,,,,,,,,,
三菱ふそうトラック・バス,ISTP,"ESTP, ISTJ, ESTJ",https://www.mitsubishi-fuso.com/,自動車,大規模,技術志向,フレックス制,自動車開発・製造,年功序列,,,,,,,,,,,
三菱自動車,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsubishi-motors.com/,自動車,大規模,技術志向,フレックス制,エンジニアリング・製造,年功序列＋成果主義,,,,,,,,,,,
三菱重工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mhi.com/,製造,大規模,技術志向,フレックス制,機械工学・設計,年功序列,,,,,,,,,,,
三菱商事,ENTJ,"ESTJ, ENTP, INTJ",https://www.mitsubishicorp.com/,商社,大規模,グローバル志向,フレックス制,貿易・事業開発,成果主義,,,,,,,,,,,
三菱商事エネルギー,ENTJ,"ESTJ, ENTP, INTJ",https://www.mitsubishicorp.com/jp/ja/,商社（エネルギー）,大規模,エネルギー事業,フレックス制,エネルギー貿易・マーケティング,年功序列,,,,,,,,,,,
三菱商事エレクトロニクス,ENTJ,"ESTJ, ENTP, INTJ",https://www.mitsubishicorp.com/jp/ja/,商社（電子機器）,大規模,技術志向,フレックス制,電子機器貿易・販売,年功序列,,,,,,,,,,,
三菱商事ファッション,ENFJ,"ENFP, INFJ, ENTJ",https://www.mcfashion.co.jp/,商社（アパレル）,大規模,ブランド志向,フレックス制,アパレル輸入・販売,年功序列,,,,,,,,,,,
三菱商事プラスチック,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mcplastic.co.jp/,商社（プラスチック）,大規模,技術・素材開発,フレックス制,プラスチック貿易・販売,年功序列,,,,,,,,,,,
三菱商事マシナリー,ENTJ,"ESTJ, ENTP, INTJ",https://www.mcmachinery.co.jp/,商社（機械）,大規模,グローバル志向,フレックス制,産業機械貿易・販売,年功序列,,,,,,,,,,,
三菱倉庫,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsubishi-logistics.co.jp/,物流・倉庫,大規模,安定志向,固定勤務,物流管理・倉庫運営,年功序列,,,,,,,,,,,
三菱総合研究所,INTJ,"ENTP, INTP, INFJ",https://www.mri.co.jp/,シンクタンク,大規模,調査分析・政策提言,フレックス制,データ分析・戦略立案,成果主義,,,,,,,,,,,
三菱地所,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mec.co.jp/,不動産,大規模,事業開発志向,フレックス制,不動産開発・営業,成果主義,,,,,,,,,,,
三菱地所レジデンス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mec-r.com/,不動産,大規模,事業開発志向,フレックス制,不動産開発・営業,成果主義,,,,,,,,,,,
三菱地所住宅販売,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mec-h.com/,不動産,大規模,安定志向,フレックス制,住宅販売・不動産管理,年功序列,,,,,,,,,,,
三菱電機,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mitsubishielectric.co.jp/,製造,大規模,技術志向,フレックス制,エンジニアリング・研究開発,年功序列,,,,,,,,,,,
三菱電機インフォメーションシステムズ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mdis.co.jp/,IT・電子機器,大規模,技術志向,フレックス制,システム開発・ITインフラ,年功序列,,,,,,,,,,,
参天製薬,ISTJ,"ESTJ, ENTJ, ISTP",https://www.santen.co.jp/,製薬,大規模,研究開発志向,フレックス制,薬学・研究開発,成果主義,,,,,,,,,,,
山口フィナンシャルグループ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ymfg.co.jp/,金融,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
産経新聞社,INTJ,"ENTP, INTP, INFJ",https://www.sankei.com/,メディア,大規模,報道志向,固定勤務,ライティング・取材,年功序列,,,,,,,,,,,
四国旅客鉄道（JR四国）,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jr-shikoku.co.jp/,鉄道,大規模,地域密着,シフト制,鉄道運営・接客,年功序列,,,,,,,,,,,
持田製薬,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mochida.co.jp/,製薬,大規模,研究開発志向,フレックス制,製薬技術・開発,成果主義,,,,,,,,,,,
時事通信社,INTJ,"ENTP, INTP, INFJ",https://www.jiji.com/,メディア,大規模,報道志向,固定勤務,ライティング・取材,年功序列,,,,,,,,,,,
鹿島リビング,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kajima.co.jp/,建設,中規模,住宅設計・施工,フレックス制,建築技術・施工管理,年功序列,,,,,,,,,,,
鹿島建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kajima.co.jp/,建設,大規模,技術志向,フレックス制,建築設計・施工管理,成果主義,,,,,,,,,,,
七十七銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.77bank.co.jp/,金融,大規模,地域密着・安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
秋田書店,INFP,"INFJ, ENFP, INTP",https://www.akitashoten.co.jp/,出版,中規模,クリエイティブ志向,固定勤務,編集・ライティング,年功序列,,,,,,,,,,,
集英社,ENFP,"INFJ, ENTP, ENTJ",https://www.shueisha.co.jp/,出版,大規模,クリエイティブ志向,固定勤務,編集・ライティング,年功序列＋成果主義,,,,,,,,,,,
住商フーズ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sumisho-foods.co.jp/,商社（食品）,大規模,安定志向,フレックス制,食品輸入・販売,年功序列,,,,,,,,,,,
住友ゴム工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.srigroup.co.jp/,製造,大規模,技術志向,フレックス制,エンジニアリング・製造,年功序列,,,,,,,,,,,
住友化学,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sumitomo-chem.co.jp/,化学,大規模,研究開発志向,フレックス制,化学研究・開発,成果主義,,,,,,,,,,,
住友金属鉱山,ISTJ,"ESTJ, ENTJ, ISTP",https://www.smm.co.jp/,製造（鉱業）,大規模,資源開発志向,フレックス制,鉱業技術・研究,年功序列,,,,,,,,,,,
住友商事,ENTJ,"ESTJ, ENTP, INTJ",https://www.sumitomocorp.com/,商社,大規模,グローバル志向,フレックス制,貿易・事業開発,成果主義,,,,,,,,,,,
住友商事グローバルメタルズ,ENTJ,"ESTJ, ENTP, INTJ",https://www.scgm.co.jp/,商社（鉄鋼）,大規模,グローバル志向,フレックス制,鉄鋼貿易・販売,年功序列,,,,,,,,,,,
住友商事マシナリー,ENTJ,"ESTJ, ENTP, INTJ",https://www.sumitomocorp.com/ja/jp,商社（機械）,大規模,技術志向,フレックス制,産業機械販売・技術営業,年功序列,,,,,,,,,,,
住友生命保険,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.sumitomolife.co.jp/,保険,大規模,安定志向,固定勤務,保険知識・営業,年功序列,,,,,,,,,,,
住友倉庫,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sumitomo-soko.co.jp/,物流・倉庫,大規模,安定志向,固定勤務,物流管理・倉庫運営,年功序列,,,,,,,,,,,
住友電工,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sei.co.jp/,製造,大規模,技術志向,フレックス制,エンジニアリング・製造,年功序列,,,,,,,,,,,
住友電工産業システム,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sei.co.jp/,製造（電線）,大規模,技術志向,フレックス制,エレクトロニクス・電線製造,年功序列,,,,,,,,,,,
住友電装,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sws.co.jp/,製造（自動車部品）,大規模,技術志向,フレックス制,自動車用電装品開発,年功序列,,,,,,,,,,,
住友不動産,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sumitomo-rd.co.jp/,不動産,大規模,事業開発志向,フレックス制,不動産開発・営業,成果主義,,,,,,,,,,,
住友不動産販売,ISTJ,"ESTJ, ENTJ, ISTP",https://www.stepon.co.jp/,不動産,大規模,安定志向,固定勤務,不動産営業・管理,年功序列,,,,,,,,,,,
住友理工,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sumitomoriko.co.jp/,製造（ゴム・樹脂）,大規模,技術志向,フレックス制,ゴム・樹脂技術開発,年功序列,,,,,,,,,,,
住友林業,ISFJ,"ESFJ, ISTJ, ESTJ",https://sfc.jp/,住宅,大規模,品質志向,フレックス制,建築設計・施工管理,成果主義,,,,,,,,,,,
十六銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.juroku.co.jp/,銀行,中規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
駿台予備学校,INTJ,"ENTP, INTP, INFJ",https://www.sundai.ac.jp/,教育,大規模,学力志向,固定勤務,教育・指導,年功序列,,,,,,,,,,,
商船三井,INTJ,"ENTP, INTP, INFJ",https://www.mol.co.jp/,海運,大規模,グローバル志向,シフト制,海運・物流管理,成果主義,,,,,,,,,,,
小学館,INFP,"INFJ, ENFP, INTP",https://www.shogakukan.co.jp/,出版,大規模,クリエイティブ志向,固定勤務,編集・ライティング,年功序列＋成果主義,,,,,,,,,,,
小野薬品工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ono-pharma.com/,製薬,大規模,研究開発志向,フレックス制,薬学知識・研究開発,成果主義,,,,,,,,,,,
昭和産業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.showa-sangyo.co.jp/,製造,中規模,安定志向,フレックス制,製造・品質管理,年功序列,,,,,,,,,,,
昭和電工,ISTJ,"ESTJ, ENTJ, ISTP",https://www.showadenko.com/,化学,大規模,研究開発志向,フレックス制,化学研究・開発,成果主義,,,,,,,,,,,
松井証券,ISTJ,"ESTJ, ENTJ, ISTP",https://www.matsui.co.jp/,金融,大規模,安定志向,フレックス制,金融知識・営業,年功序列,,,,,,,,,,,
松屋フーズ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.matsuyafoods.co.jp/,飲食,大規模,ホスピタリティ重視,シフト制,接客・販売,年功序列,,,,,,,,,,,
松竹,ENFP,"INFJ, ENTP, ENTJ",https://www.shochiku.co.jp/,映画・エンタメ,大規模,クリエイティブ志向,固定勤務,映画制作・演技指導,年功序列,,,,,,,,,,,
祥伝社,INFP,"INFJ, ENFP, INTP",https://www.shodensha.co.jp/,出版,中規模,クリエイティブ志向,固定勤務,編集・ライティング,年功序列,,,,,,,,,,,
上新電機,ESTJ,"ENTP, ISTJ, ENTJ",https://www.joshin.co.jp/,小売,大規模,顧客志向,シフト制,販売・店舗運営,年功序列,,,,,,,,,,,
信越化学工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shinetsu.co.jp/,化学,大規模,研究開発志向,フレックス制,化学研究・開発,成果主義,,,,,,,,,,,
信金中央金庫,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shinkin.co.jp/,金融,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
新生銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shinseibank.com/,銀行,中規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
新潮社,INFP,"INFJ, ENFP, INTP",https://www.shinchosha.co.jp/,出版,大規模,クリエイティブ志向,固定勤務,編集・ライティング,年功序列,,,,,,,,,,,
森・濱田松本法律事務所,INTJ,"ENTP, INTP, INFJ",https://www.mhmjapan.com/,法律,中規模,実力主義,フレックス制,法律知識・法務,成果主義,,,,,,,,,,,
森永製菓,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.morinaga.co.jp/,食品,大規模,品質志向,フレックス制,製造・品質管理,年功序列,,,,,,,,,,,
神戸製鋼所,INTJ,"ENTP, INTP, INFJ",https://www.kobelco.co.jp/,製造,大規模,技術志向,フレックス制,機械工学・設計,成果主義,,,,,,,,,,,
成城石井,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.seijoishii.com/,小売,中規模,顧客志向,シフト制,販売・接客,年功序列,,,,,,,,,,,
星野リゾート,ESFP,"ENFP, ISFP, ESTP",https://www.hoshinoresorts.com/,ホテル・観光,中規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
星野リゾート・トマム,ESFP,"ENFP, ISFP, ESTP",https://www.hoshinoresorts.com/,ホテル・観光,中規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
清水ハイテック,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shimizu-ht.co.jp/,製造,中規模,技術志向,フレックス制,エンジニアリング・製造,成果主義,,,,,,,,,,,
清水建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shimz.co.jp/,建設,大規模,技術志向,フレックス制,建設・設計,年功序列,,,,,,,,,,,
清水建設住宅事業部,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shimz.co.jp/,建設,中規模,技術志向,フレックス制,建設・設計,年功序列,,,,,,,,,,,
西村あさひ法律事務所,INTJ,"ENTP, INTP, INFJ",https://www.nishimura.com/,法律,大規模,実力主義,フレックス制,法務知識・法律事務,成果主義,,,,,,,,,,,
西日本新聞社,INTJ,"ENTP, INTP, INFJ",https://www.nishinippon.co.jp/,メディア,大規模,安定志向,固定勤務,ジャーナリズム・執筆,年功序列,,,,,,,,,,,
西濃運輸,ESTJ,"ENTP, ISTJ, ENTJ",https://www.seino.co.jp/,物流,大規模,安定志向,シフト制,物流管理・配送,年功序列,,,,,,,,,,,
西武鉄道,ISTJ,"ESTJ, ENTJ, ISTP",https://www.seiburailway.jp/,鉄道,大規模,地域密着,シフト制,運行管理・接客,年功序列,,,,,,,,,,,
西友,ESTJ,"ENTP, ISTJ, ENTJ",https://www.seiyu.co.jp/,小売,大規模,顧客志向,シフト制,販売・接客,年功序列,,,,,,,,,,,
青山商事,ESTJ,"ENTP, ISTJ, ENTJ",https://www.aoyamajapan.com/,小売,大規模,顧客志向,シフト制,販売・接客,年功序列,,,,,,,,,,,
静岡銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.shizuokabank.co.jp/,銀行,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
積水ハウスリノベーション,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.sekisuihouse-renovation.co.jp/,住宅,中規模,安定志向,フレックス制,リノベーション・設計,年功序列,,,,,,,,,,,
積水ハウスリフォーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.sekisuihouse-reform.co.jp/,住宅,中規模,安定志向,フレックス制,リフォーム・設計,年功序列,,,,,,,,,,,
積水化学工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sekisuichemical.com/,化学,大規模,研究開発志向,フレックス制,化学研究・開発,成果主義,,,,,,,,,,,
積水化学工業住宅部門,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sekisuichemical.com/,住宅,中規模,安定志向,フレックス制,建設・設計,年功序列,,,,,,,,,,,
積和不動産,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sekiwafudosan.co.jp/,不動産,中規模,安定志向,フレックス制,不動産開発・営業,年功序列,,,,,,,,,,,
仙台市交通局,ISTJ,"ESTJ, ENTJ, ISTP",https://www.city.sendai.jp/,公共,大規模,地域密着,シフト制,運行管理・接客,年功序列,,,,,,,,,,,
千代田化工建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.chiyodacorp.com/,建設,大規模,技術志向,フレックス制,設計・施工管理,年功序列,,,,,,,,,,,
川崎汽船,ISTP,"ESTP, ISTJ, ESTJ",https://www.kline.co.jp/,海運,大規模,グローバル志向,シフト制,物流管理・海運,年功序列,,,,,,,,,,,
川崎重工業,ISTP,"ESTP, ISTJ, ESTJ",https://www.khi.co.jp/,製造,大規模,技術志向,フレックス制,機械設計・製造,成果主義,,,,,,,,,,,
双日,ENTJ,"ESTJ, ENTP, INTJ",https://www.sojitz.com/,商社,大規模,グローバル志向,フレックス制,営業・商社業務,成果主義,,,,,,,,,,,
双日フードサービス,ENTJ,"ESTJ, ENTP, INTJ",https://www.sojitzfood.co.jp/,商社,中規模,顧客志向,シフト制,販売・マーケティング,年功序列,,,,,,,,,,,
双日プラントエンジニアリング,ENTJ,"ESTJ, ENTP, INTJ",https://www.sojitzpe.co.jp/,商社,中規模,技術志向,フレックス制,プラント設計・施工管理,年功序列,,,,,,,,,,,
双日マシナリー,ENTJ,"ESTJ, ENTP, INTJ",https://www.sojitz-m.co.jp/,商社,中規模,技術志向,フレックス制,機械設計・営業,年功序列,,,,,,,,,,,
双日総合物流,ENTJ,"ESTJ, ENTP, INTJ",https://www.sojitz-sogo.com/,物流,大規模,安定志向,フレックス制,物流管理・オペレーション,年功序列,,,,,,,,,,,
双日総合物流,ENTJ,"ESTJ, ENTP, INTJ",https://www.waseda.jp/,物流,大規模,安定志向,フレックス制,物流管理・オペレーション,年功序列,,,,,,,,,,,
早稲田大学,INTJ,"ENTP, INTP, INFJ",https://www.sotetsu.co.jp/,教育,大規模,学術志向,固定勤務,教育・研究,年功序列,,,,,,,,,,,
相模鉄道,ISTJ,"ESTJ, ENTJ, ISTP",https://www.murata.com/,鉄道,大規模,安定志向,固定勤務,運行管理・接客,年功序列,,,,,,,,,,,
村田製作所,ISTJ,"ESTJ, ENTJ, ISTP",https://www.yuden.co.jp/,製造,大規模,技術志向,フレックス制,エレクトロニクス・技術開発,成果主義,,,,,,,,,,,
太陽誘電,ISTJ,"ESTJ, ENTJ, ISTP",https://anycarry.co.jp/,製造,大規模,技術志向,フレックス制,エレクトロニクス・研究開発,成果主義,,,,,,,,,,,
代々木ゼミナール,INTJ,"ENTP, INTP, INFJ",https://www.orico.co.jp/,教育,大規模,教育志向,固定勤務,教育・指導,年功序列,,,,,,,,,,,
大丸松坂屋百貨店,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.money-design.com/,小売,大規模,サービス重視,シフト制,接客・販売,年功序列,,,,,,,,,,,
大戸屋,ESFJ,"ENFP, ISFJ, ESTJ",https://www.yozemi.ac.jp/,飲食,中規模,ホスピタリティ重視,シフト制,接客・調理,年功序列,,,,,,,,,,,
大広,ENFP,"INFJ, ENTP, ENTJ",https://www.daimaru-matsuzakaya.jp/,広告,中規模,創造的,フレックス制,マーケティング・クリエイティブ,成果主義,,,,,,,,,,,
大阪大学,INTP,"INTJ, ENTP, INFP",https://www.ootoya.com/,教育,大規模,学術志向,固定勤務,教育・研究,年功序列,,,,,,,,,,,
大成建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.daiko.co.jp/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
大成建設ハウジング,ISTJ,"ESTJ, ENTJ, ISTP",https://www.osaka-u.ac.jp/,建設,大規模,安定志向,フレックス制,住宅設計・施工,年功序列,,,,,,,,,,,
大塚家具,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.taisei.co.jp/,小売,中規模,安定志向,シフト制,販売・接客,年功序列,,,,,,,,,,,
大塚製薬,ENTP,"INTJ, ENFP, ENTJ",https://www.taisei-housing.com/,製薬,大規模,技術志向,フレックス制,研究・開発,成果主義,,,,,,,,,,,
大同特殊鋼,ISTJ,"ESTJ, ENTJ, ISTP",https://www.idc-otsuka.jp/,製造,大規模,技術志向,フレックス制,鉄鋼・技術開発,成果主義,,,,,,,,,,,
大日本印刷,INTJ,"ENTP, INTP, INFJ",https://www.otsuka.co.jp/,製造,大規模,安定志向,フレックス制,印刷・デザイン,年功序列,,,,,,,,,,,
大日本住友製薬,ISTJ,"ESTJ, ENTJ, ISTP",https://www.daido.co.jp/,製薬,大規模,研究開発重視,フレックス制,研究・開発,成果主義,,,,,,,,,,,
大陽日酸,ISTJ,"ESTJ, ENTJ, ISTP",https://www.dnp.co.jp/,化学,大規模,技術志向,フレックス制,化学・工業技術,成果主義,,,,,,,,,,,
大林新星和不動産,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ds-pharma.co.jp/,不動産,中規模,安定志向,フレックス制,不動産・プロジェクト管理,年功序列,,,,,,,,,,,
大林組,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tn-sanso.co.jp/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
大林組インフラソリューション,ISTJ,"ESTJ, ENTJ, ISTP",https://www.obayashi-shinseiwa.co.jp/,建設,大規模,安定志向,フレックス制,インフラ開発・管理,年功序列,,,,,,,,,,,
大和ハウスパートナーズ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.obayashi.co.jp/,不動産,大規模,安定志向,フレックス制,不動産開発・管理,年功序列,,,,,,,,,,,
大和ハウスリフォーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.obayashi.co.jp/business/,不動産,中規模,安定志向,フレックス制,リフォーム業務,年功序列,,,,,,,,,,,
大和ハウスリフォーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.daiwahouse.co.jp/partner/,不動産,中規模,安定志向,フレックス制,リフォーム業務,年功序列,,,,,,,,,,,
大和ハウス工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.daiwahouse-reform.co.jp/,不動産,大規模,安定志向,フレックス制,不動産開発・管理,年功序列,,,,,,,,,,,
大和リビング,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.daiwahouse.co.jp/,不動産,中規模,安定志向,フレックス制,不動産・管理業務,年功序列,,,,,,,,,,,
大和証券,ENTJ,"ESTJ, ENTP, INTJ",https://www.daiwaliving.co.jp/,金融,大規模,安定志向,フレックス制,証券・投資業務,年功序列,,,,,,,,,,,
大和総研,INTJ,"ENTP, INTP, INFJ",https://www.daiwa.jp/,コンサルティング,大規模,学術志向,フレックス制,金融・投資分析,成果主義,,,,,,,,,,,
第一三共,ISTJ,"ESTJ, ENTJ, ISTP",https://www.dir.co.jp/,製薬,大規模,研究開発重視,フレックス制,薬学・研究開発,成果主義,,,,,,,,,,,
第一生命フィナンシャル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.daiichisankyo.co.jp/,金融,大規模,安定志向,フレックス制,金融知識・営業,年功序列,,,,,,,,,,,
第一生命保険,ISTJ,"ESTJ, ENTJ, ISTP",https://www.dai-ichi-life-hd.com/,保険,大規模,安定志向,フレックス制,保険・営業,年功序列,,,,,,,,,,,
竹中工務店,ISTJ,"ESTJ, ENTJ, ISTP",https://www.dai-ichi-life.co.jp/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
竹中工務店都市開発,ISTJ,"ESTJ, ENTJ, ISTP",https://www.takenaka.co.jp/,建設,大規模,安定志向,フレックス制,都市開発・プロジェクト管理,年功序列,,,,,,,,,,,
中外製薬,ISTJ,"ESTJ, ENTJ, ISTP",https://www.takenaka.co.jp/service/urban-development/,製薬,大規模,研究開発重視,フレックス制,研究・開発,成果主義,,,,,,,,,,,
中京テレビ,ENFP,"INFJ, ENTP, ENTJ",https://www.chugai-pharm.co.jp/,メディア,大規模,安定志向,フレックス制,放送・制作,年功序列,,,,,,,,,,,
中日新聞社,INTJ,"ENTP, INTP, INFJ",https://www.ctv.co.jp/,メディア,大規模,安定志向,フレックス制,ジャーナリズム・取材,年功序列,,,,,,,,,,,
朝日新聞社,INTJ,"ENTP, INTP, INFJ",https://www.chunichi.co.jp/,メディア,大規模,安定志向,フレックス制,ジャーナリズム・編集,年功序列,,,,,,,,,,,
朝日放送テレビ,ENFP,"INFJ, ENTP, ENTJ",https://www.asahi.com/,メディア,大規模,安定志向,フレックス制,テレビ制作・報道,年功序列,,,,,,,,,,,
長谷工リフォーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.asahi.co.jp/,建設,中規模,安定志向,フレックス制,リフォーム業務,年功序列,,,,,,,,,,,
長島・大野・常松法律事務所,INTJ,"ENTP, INTP, INFJ",https://www.haseko.co.jp/haseko_reform/,法律,中規模,専門性重視,固定勤務,法務・契約書作成,年功序列,,,,,,,,,,,
鳥貴族,ESFP,"ENFP, ISFP, ESTP",https://www.noandt.com/,飲食,中規模,ホスピタリティ重視,シフト制,接客・調理,年功序列,,,,,,,,,,,
帝国ホテル,ESFJ,"ENFP, ISFJ, ESTJ",https://www.torikizoku.co.jp/,ホテル,大規模,サービス志向,シフト制,接客・運営,年功序列,,,,,,,,,,,
帝人,ISTJ,"ESTJ, ENTJ, ISTP",https://www.imperialhotel.co.jp/,化学,大規模,技術志向,フレックス制,化学技術・研究開発,成果主義,,,,,,,,,,,
鉄建建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.teijin.co.jp/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
田辺三菱製薬,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tekken.co.jp/,製薬,大規模,研究開発重視,フレックス制,薬学・研究開発,成果主義,,,,,,,,,,,
電通,ISTJ,"ESTJ, ENTJ, ISTP",https://www.mt-pharma.co.jp/,広告,大規模,創造性重視,フレックス制,広告・マーケティング,成果主義,,,,,,,,,,,
東レ,ENTJ,"ESTJ, ENTP, INTJ",https://www.dentsu.co.jp/,化学,大規模,技術志向,フレックス制,化学技術・研究開発,成果主義,,,,,,,,,,,
東レインターナショナル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toray.co.jp/,化学,大規模,グローバル志向,フレックス制,化学技術・貿易,成果主義,,,,,,,,,,,
東レ建設,ISTJ,"ESTJ, ENTJ, ISTP",https://www.toray-intl.com/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
東亜建設工業,ENFP,"INFJ, ENTP, ENTJ",https://www.toray-con.co.jp/,建設,大規模,安定志向,フレックス制,建設・プロジェクト管理,年功序列,,,,,,,,,,,
東映,ENFP,"INFJ, ENTP, ENTJ",https://www.toa-const.co.jp/,メディア,大規模,創造性重視,フレックス制,映画制作・映像編集,成果主義,,,,,,,,,,,
東映アニメーション,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.toei.co.jp/,アニメ,大規模,創造性重視,フレックス制,アニメ制作・演出,成果主義,,,,,,,,,,,
東横イン,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.toei-anim.co.jp/,ホテル,大規模,サービス志向,シフト制,接客・運営,年功序列,,,,,,,,,,,
東海旅客鉄道,ENFJ,"ENFP, INFJ, ENTJ",https://www.toyoko-inn.com/,鉄道,大規模,安定志向,フレックス制,運行管理・接客,年功序列,,,,,,,,,,,
東急エージェンシー,ENFJ,,https://jr-central.co.jp/,広告,大規模,創造性重視,フレックス制,広告・マーケティング,成果主義,,,,,,,,,,,
東急ハンズ,ESFP,"ENFP, ISFP, ESTP",https://www.tokyu-agc.co.jp/,小売,中規模,サービス重視,シフト制,接客・販売,年功序列,,,,,,,,,,,
東急リバブル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tokyu-hands.co.jp/,不動産,大規模,安定志向,フレックス制,不動産営業・管理,年功序列,,,,,,,,,,,
東急電鉄,ISTJ,"ESTJ, ENTJ, ISTP",https://www.livable.co.jp/,鉄道,大規模,安定志向,フレックス制,運行管理・接客,年功序列,,,,,,,,,,,
東急不動産,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tokyu.co.jp/,不動産,大規模,安定志向,フレックス制,不動産開発・管理,年功序列,,,,,,,,,,,
東京スター銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.tokyu-fudosan-hd.co.jp/,銀行,大規模,安定志向,フレックス制,銀行業務・融資,年功序列,,,,,,,,,,,
東京ベイ舞浜ホテル,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.tokyostarbank.co.jp/,ホテル,大規模,サービス志向,シフト制,接客・運営,年功序列,,,,,,,,,,,
